"case","event","startTime","completeTime"
"case_0","som_start","1970/01/01 01:00:00.000","1970/01/01 01:00:00.000"
"case_0","som_enterid_dmi_1","1970/01/01 02:00:00.000","1970/01/01 02:00:00.000"
"case_0","som_retry_dmi_1","1970/01/01 03:00:00.000","1970/01/01 03:00:00.000"
"case_0","som_enterid_dmi_1","1970/01/01 04:00:00.000","1970/01/01 04:00:00.000"
"case_0","som_retry_dmi_1","1970/01/01 05:00:00.000","1970/01/01 05:00:00.000"
"case_0","som_enterid_dmi_1","1970/01/01 06:00:00.000","1970/01/01 06:00:00.000"
"case_0","som_retry_dmi_1","1970/01/01 07:00:00.000","1970/01/01 07:00:00.000"
"case_0","som_enterid_dmi_1","1970/01/01 08:00:00.000","1970/01/01 08:00:00.000"
"case_0","som_storeid_evc_1","1970/01/01 09:00:00.000","1970/01/01 09:00:00.000"
"case_0","som_validate_evc_1","1970/01/01 10:00:00.000","1970/01/01 10:00:00.000"
"case_0","som_openconn_rtm_1","1970/01/01 11:00:00.000","1970/01/01 11:00:00.000"
"case_0","som_checkpos_rbc_1","1970/01/01 12:00:00.000","1970/01/01 12:00:00.000"
"case_0","som_checktrain_rbc_1","1970/01/01 13:00:00.000","1970/01/01 13:00:00.000"
"case_0","som_storevalacc_rbc_1","1970/01/01 14:00:00.000","1970/01/01 14:00:00.000"
"case_0","som_storeacc_evc_1","1970/01/01 15:00:00.000","1970/01/01 15:00:00.000"
"case_0","som_driversel_dmi_1","1970/01/01 16:00:00.000","1970/01/01 16:00:00.000"
"case_0","som_NLSHproc_evc_1","1970/01/01 17:00:00.000","1970/01/01 17:00:00.000"
"case_0","som_chmod_evc_1","1970/01/01 18:00:00.000","1970/01/01 18:00:00.000"
"case_0","som_end","1970/01/01 19:00:00.000","1970/01/01 19:00:00.000"
